iter	RMSE
0	0.9492430212
1	0.9291502269
2	0.912519422
3	0.8978598609
4	0.8857075861
5	0.8748653851
6	0.8651144188
7	0.8573144039
8	0.8507190624
9	0.8445484902
10	0.8397606241
11	0.8341905773
12	0.8297709472
13	0.8256574369
14	0.8224991613
15	0.8194503053
16	0.8169580136
17	0.8144887922
18	0.8116665501
19	0.809235026
20	0.8074007932
21	0.805152204
22	0.8036343685
23	0.8021377287
24	0.8006902507
25	0.7988701377
26	0.7974701875
27	0.7963541662
28	0.7952862389
29	0.7945114744
30	0.7930873036
31	0.7919552519
32	0.7910838641
33	0.7902758993
34	0.7893507251
35	0.788514658
36	0.7877122309
37	0.7869911851
38	0.7861008466
39	0.7851363799
40	0.7843078274
41	0.7834806567
42	0.7826777941
43	0.7821349535
44	0.7812179396
45	0.7805661943
46	0.7798306869
47	0.7792883287
48	0.7787400939
49	0.7782212117
50	0.7778358244
51	0.7772447091
52	0.7767548705
53	0.7763723115
54	0.7757058263
55	0.7751215217
56	0.7746616624
57	0.774219612
58	0.7737635239
59	0.7732496524
60	0.7726542287
61	0.7721646437
62	0.7716935331
63	0.7712184891
64	0.7706987513
65	0.7702297816
66	0.7698069641
67	0.7694249786
68	0.7691149969
69	0.7684498545
70	0.7679312395
71	0.7675870325
72	0.7671518734
73	0.7666045475
74	0.7663310986
75	0.7658437263
76	0.7653471936
77	0.7649520258
78	0.7645270102
79	0.7642889414
80	0.7638816383
81	0.7631525278
82	0.7627883181
83	0.7622229261
84	0.7617994987
85	0.7612947924
86	0.760922716
87	0.7606421946
88	0.760332996
89	0.7599947978
90	0.7597236528
91	0.7593060805
92	0.7589757186
93	0.7586409797
94	0.7582977306
95	0.7579994801
96	0.7577165863
97	0.7572508705
98	0.7569747298
99	0.7566945781
100	0.7564392043
101	0.7559154188
102	0.7556154993
103	0.7554183538
104	0.7550621118
105	0.7547218822
106	0.7544984482
107	0.7540984698
108	0.753863823
109	0.7536446691
110	0.7534524844
111	0.7532233569
112	0.7528452344
113	0.7525639857
114	0.7524004902
115	0.7520783928
116	0.7518234266
117	0.7514983676
118	0.7511416234
119	0.7508332279
120	0.7506483796
121	0.750444167
122	0.7502291549
123	0.7497302958
124	0.7494801338
125	0.7491840125
126	0.7489091972
127	0.7485776844
128	0.7482875146
129	0.7480048485
130	0.7477963966
131	0.747544328
132	0.7473152695
133	0.7470256283
134	0.7468032267
135	0.7466111806
136	0.7462327333
137	0.7458828687
138	0.7456880427
139	0.7453772426
140	0.7452027716
141	0.7447735525
142	0.7444517983
143	0.7441971308
144	0.7437034415
145	0.743420958
146	0.7429824808
147	0.7427860303
148	0.7426587117
149	0.7424820242
150	0.742273266
151	0.7420391907
152	0.7416582935
153	0.7414138613
154	0.7410875091
155	0.7408834223
156	0.7406823976
157	0.7403880258
158	0.740091239
159	0.7397619299
160	0.7395523201
161	0.7393419627
162	0.7390862082
163	0.7388861319
164	0.7386503431
165	0.7383864515
166	0.7380897487
167	0.7378249693
168	0.7375878317
169	0.7373586063
170	0.7371995226
171	0.7369793982
172	0.7367756385
173	0.7363958325
174	0.7361821464
175	0.7358731346
176	0.7356494135
177	0.7355064351
178	0.7352985694
179	0.7351627205
180	0.7349686235
181	0.734534173
182	0.7343346941
183	0.7341692348
184	0.733976613
185	0.7337977516
186	0.7336433117
187	0.733394968
188	0.7331938163
189	0.7329581958
190	0.7327342779
191	0.7324280439
192	0.7322923285
193	0.7320925258
194	0.7319249971
195	0.7317376885
196	0.7315970323
197	0.7313951128
198	0.7312501028
199	0.7310382325
200	0.7307920708
201	0.730484234
202	0.7302201422
203	0.7300593602
204	0.7298950082
205	0.7297262783
206	0.7295406005
207	0.7292567694
208	0.7291825892
209	0.7289586001
210	0.7287700519
211	0.7285939103
212	0.7283680956
213	0.7282075792
214	0.7280034384
215	0.7278036187
216	0.7275986526
217	0.7274763345
218	0.7272631831
219	0.727086711
220	0.7268616727
221	0.7265830259
222	0.7264488394
223	0.7263484549
224	0.7261119276
225	0.7258978521
226	0.7257577196
227	0.7255978698
228	0.7252985684
229	0.7251869035
230	0.7249617764
231	0.7248628562
232	0.7246919719
233	0.7244072118
234	0.7241711922
235	0.723930821
236	0.7237747499
237	0.7236232714
238	0.7234659811
239	0.7233445098
240	0.7232035489
241	0.7230674918
242	0.7229420839
243	0.7228141125
244	0.7226510007
245	0.7225467165
246	0.7223320964
247	0.7223286394
248	0.7221800842
249	0.7220083858
250	0.7218442976
251	0.7216843707
252	0.7214745936
253	0.7213228126
254	0.7211921419
255	0.7211428971
256	0.7209412428
257	0.7207343155
258	0.7205473861
259	0.7203395851
260	0.7202317125
261	0.7199838613
262	0.7199054457
263	0.7197817692
264	0.7195987758
265	0.7194934915
266	0.7194903439
267	0.7193445841
268	0.719269052
269	0.7191129202
270	0.7189845441
271	0.7188343138
272	0.7186469303
273	0.7184945818
274	0.7183513289
275	0.7181807382
276	0.7179811381
277	0.7178611342
278	0.7177172621
279	0.7175495725
280	0.7175351899
281	0.7173887696
282	0.7172707184
283	0.7171601184
284	0.7170091822
285	0.7168266731
286	0.7166603904
287	0.7165217556
288	0.7164202831
289	0.7163427029
290	0.7161948952
291	0.7160699477
292	0.7159549822
293	0.7157595304
294	0.7156502204
295	0.7154997216
296	0.7154968502
297	0.7153561244
298	0.7150747005
299	0.7149145625
300	0.714763196
301	0.7146543945
302	0.7146202822
303	0.7144676511
304	0.7142946167
305	0.7141092207
306	0.7139645499
307	0.7138199777
308	0.7137023777
309	0.7135542594
310	0.7134000491
311	0.7133043306
312	0.7131554764
313	0.7130146244
314	0.7130021582
315	0.7128383866
316	0.7126812551
317	0.7125560168
318	0.712414832
319	0.7122679341
320	0.7121451101
321	0.7119872962
322	0.7118244837
323	0.7116113523
324	0.7115327677
325	0.711388964
326	0.7112541361
327	0.7111445424
328	0.71104429
329	0.7109334354
330	0.7106902383
331	0.7105836165
332	0.710443353
333	0.7102535556
334	0.7100915158
335	0.7099683358
336	0.7098574681
337	0.7096962244
338	0.7096046537
339	0.7095033717
340	0.7093303074
341	0.7092056542
342	0.709014851
343	0.708911852
344	0.7087004695
345	0.708581803
346	0.7084148588
347	0.7083028702
348	0.7082018045
349	0.7080863545
350	0.7077579688
351	0.7076133276
352	0.7075554153
353	0.7073239336
354	0.7072177748
355	0.7070179754
356	0.7069935214
357	0.7068874148
358	0.7067525386
359	0.7065900803
360	0.7065877491
361	0.7064141442
362	0.7062346738
363	0.7060812696
364	0.7059494238
365	0.705831305
366	0.7057066513
367	0.7056135239
368	0.7054961328
369	0.70541182
370	0.7052888255
371	0.7052135768
372	0.7050973536
373	0.7049829579
374	0.7048176195
375	0.7046643703
376	0.7045161178
377	0.7044823849
378	0.7043301065
379	0.7041463378
380	0.704144159
381	0.7040272972
382	0.7038727894
383	0.7037567004
384	0.7036780597
385	0.7036759358
386	0.7035614345
387	0.7034606321
388	0.7033115195
389	0.7031571776
390	0.703048252
391	0.7030102783
392	0.702887014
393	0.7027261078
394	0.7026048925
395	0.7024703215
396	0.7022717314
397	0.7021144903
398	0.7020094835
399	0.7017981411
400	0.7017428106
401	0.7016896405
402	0.7015770519
403	0.7013891488
404	0.7012625697
405	0.7010843108
406	0.7009976977
407	0.7009443826
408	0.7008151492
409	0.7006629896
410	0.7005065786
411	0.7003697783
412	0.7002624632
413	0.7001386526
414	0.7000141095
415	0.6999081712
416	0.6997974432
417	0.6996906347
418	0.699576361
419	0.6994103392
420	0.6992661597
421	0.6991368329
422	0.6990094871
423	0.6988820774
424	0.6988428963
425	0.6986757652
426	0.6985442151
427	0.6983631562
428	0.6982711748
429	0.6981245173
430	0.6980652428
431	0.698036365
432	0.6979345913
433	0.6978352423
434	0.6976743567
435	0.6975676465
436	0.6974617641
437	0.6973848754
438	0.6972839783
439	0.6972106431
440	0.6970572966
441	0.6969691728
442	0.6968820372
443	0.6967591851
444	0.6966202328
445	0.6964424797
446	0.6962875049
447	0.6962424094
448	0.6961313997
449	0.6960697543
450	0.6960040957
451	0.6958840465
452	0.695771428
453	0.6956319699
454	0.6954906897
455	0.6953823023
456	0.6952796821
457	0.6951695536
458	0.6950619788
459	0.6949531474
460	0.6948757316
461	0.6947048838
462	0.69463854
463	0.6945507574
464	0.6944698635
465	0.6943665913
466	0.6942131274
467	0.6940243989
468	0.6939590717
469	0.6937915694
470	0.6936885851
471	0.6935677272
472	0.6934185769
473	0.6932687379
474	0.6931785891
475	0.6930642172
476	0.6929619975
477	0.6928672369
478	0.6927179169
479	0.6926152021
480	0.6925063432
481	0.6923530452
482	0.6922738785
483	0.692135717
484	0.6920551681
485	0.6919378793
486	0.6918667895
487	0.69174234
488	0.6916796412
489	0.6915851785
490	0.6914216609
491	0.69130522
492	0.6912213368
493	0.6911313437
494	0.6910145889
495	0.6908943961
496	0.6907732026
497	0.6906631126
498	0.6905268555
499	0.6904203578
500	0.6903158405
501	0.6902016728
502	0.6900666788
503	0.6899123645
504	0.6898226265
505	0.689813599
506	0.6897478788
507	0.6896133583
508	0.6895640854
509	0.6894735736
510	0.6893678513
511	0.6893189458
512	0.6892241226
513	0.6891354975
514	0.6889987441
515	0.6888286451
516	0.6887772874
517	0.688760674
518	0.688662244
519	0.6886402999
520	0.6885884689
521	0.688464984
522	0.6884136267
523	0.6883617385
524	0.6882967471
525	0.6882240936
526	0.688202279
527	0.6881291779
528	0.6880105696
529	0.6878550865
530	0.6877660919
531	0.6876745244
532	0.68752529
533	0.687470685
534	0.6872838471
535	0.6871557154
536	0.6870518915
537	0.6869172352
538	0.6868102992
539	0.6867433677
540	0.686620735
541	0.6865090324
542	0.6864113398
543	0.6863308164
544	0.6861733817
545	0.6860713523
546	0.6860215889
547	0.6859391691
548	0.6859000452
549	0.6858523392
550	0.6857165218
551	0.6856422064
552	0.6855336327
553	0.6854298753
554	0.6853550541
555	0.6852676539
556	0.6851532948
557	0.6850531122
558	0.6849575949
559	0.6848929387
560	0.684859969
561	0.6847055861
562	0.684580171
563	0.684482037
564	0.6844165961
565	0.6843093663
566	0.6841932133
567	0.6840854523
568	0.6840324345
569	0.6839091981
570	0.6837928651
571	0.6837037707
572	0.6836328335
573	0.6835752637
574	0.6834708928
575	0.6833907928
576	0.6832788592
577	0.6831791357
578	0.6830521285
579	0.6829322923
580	0.6828869026
581	0.6827982732
582	0.6827166011
583	0.6826148884
584	0.6825160456
585	0.6824025953
586	0.6822893415
587	0.6822433539
588	0.6821282274
589	0.6819979193
590	0.6818834929
591	0.6818199321
592	0.6817401125
593	0.6816087342
594	0.6815401236
595	0.6814862366
596	0.6813842033
597	0.6812651824
598	0.6812226448
599	0.6811552032
600	0.681068954
601	0.6809653833
602	0.6808237661
603	0.6807580749
604	0.6806644561
605	0.6805535771
606	0.6804105626
607	0.68029922
608	0.6802134094
609	0.6800815905
610	0.6799800336
611	0.6799023002
612	0.6798034854
613	0.6796698141
614	0.6795497031
615	0.6794075183
616	0.6793367148
617	0.6792627823
618	0.6791474503
619	0.6790459241
620	0.6789382101
621	0.6787475028
622	0.6786489252
623	0.6785267261
624	0.6783884225
625	0.6782775581
626	0.6781608218
627	0.6781096457
628	0.6779699764
629	0.6779021888
630	0.6777829453
631	0.6777258054
632	0.6776463177
633	0.6775716135
634	0.6774791863
635	0.6774283277
636	0.6772955863
637	0.6772570023
638	0.6771202342
639	0.6770045217
640	0.6769416024
641	0.6768159378
642	0.6766942942
643	0.6766470864
644	0.6765841695
645	0.6765303388
646	0.6763486738
647	0.6762694328
648	0.6762052396
649	0.6761167397
650	0.67598857
651	0.6758472883
652	0.6757497906
653	0.6756662366
654	0.6755910009
655	0.6755022952
656	0.6753890737
657	0.6753204666
658	0.6752494113
659	0.6752155572
660	0.675073055
661	0.6749653016
662	0.6748574524
663	0.6747658024
664	0.6746491988
665	0.6745625799
666	0.6744966975
667	0.6744400174
668	0.674394856
669	0.6743384513
670	0.674236336
671	0.6741706046
672	0.6741069158
673	0.6740001196
674	0.6738973474
675	0.6738069431
676	0.6736697513
677	0.6735904601
678	0.6735323079
679	0.6734386871
680	0.6733845835
681	0.6733285163
682	0.6732818246
683	0.6731776266
684	0.6730692046
685	0.6730139162
686	0.6729484482
687	0.6728638723
688	0.6727648918
689	0.672640092
690	0.6725573576
691	0.6724941216
692	0.672424001
693	0.6723781279
694	0.6723164896
695	0.6721611545
696	0.672092136
697	0.671982724
698	0.6718938453
699	0.6717560834
700	0.6716777929
701	0.671619735
702	0.6715199811
703	0.6714394543
704	0.6713624609
705	0.6712593273
706	0.6711358056
707	0.6710277479
708	0.6709603091
709	0.6708564501
710	0.6707873739
711	0.6706708372
712	0.6705683313
713	0.6704550875
714	0.6704061243
715	0.6703285573
716	0.6702529536
717	0.6701854869
718	0.6700972925
719	0.6700581686
720	0.6699372965
721	0.6698510076
722	0.6697788728
723	0.6697192958
724	0.6696637239
725	0.6695899984
726	0.6695302042
727	0.6694384125
728	0.6693913775
729	0.6693339115
730	0.6692199128
731	0.6690933013
732	0.6690237114
733	0.6689146073
734	0.6688022369
735	0.6687643937
736	0.6686588473
737	0.6685685457
738	0.6684625316
739	0.6684238738
740	0.6683589303
741	0.6682813421
742	0.6682022381
743	0.6681078762
744	0.6679639644
745	0.6678773101
746	0.6678059358
747	0.6676754205
748	0.6675681249
749	0.6674901539
750	0.6673731458
751	0.6672970921
752	0.6672043844
753	0.66706604
754	0.6669360703
755	0.666859767
756	0.6667800978
757	0.6666814873
758	0.6666388485
759	0.6665411772
760	0.6664647255
761	0.6664034155
762	0.6663666326
763	0.666265352
764	0.6661926619
765	0.6660959782
766	0.6659828638
767	0.6659264482
768	0.665834979
769	0.6657302858
770	0.6656744092
771	0.6656016193
772	0.6655492855
773	0.665514989
774	0.6654341142
775	0.6653826437
776	0.6652847388
777	0.6652009056
778	0.6651311424
779	0.6651128425
780	0.6650658694
781	0.6650149896
782	0.6649647314
783	0.6649287912
784	0.6648531804
785	0.6647242149
786	0.6646386771
787	0.6645041782
788	0.6643657823
789	0.66430738
790	0.6642587333
791	0.6642210668
792	0.6641570494
793	0.6640235324
794	0.663970237
795	0.6639098264
796	0.6638329827
797	0.6637566394
798	0.6636560744
799	0.6636253079
800	0.6635492061
801	0.663422251
802	0.6633778229
803	0.6632777274
804	0.6631694558
805	0.6630806282
806	0.662967544
807	0.6628925054
808	0.6628386946
809	0.6627147729
810	0.6626118959
811	0.6625871096
812	0.6624824339
813	0.6624021146
814	0.662297244
815	0.66221568
816	0.6621218128
817	0.6620401748
818	0.6619800386
819	0.6618756179
820	0.6618040564
821	0.6617592519
822	0.6616664369
823	0.6615800649
824	0.6615393522
825	0.6614641469
826	0.6614093601
827	0.6613389462
828	0.6612777016
829	0.6612180663
830	0.6611090425
831	0.6610417686
832	0.6609605375
833	0.6608793684
834	0.6608115607
835	0.6607773678
836	0.6607047827
837	0.6606603762
838	0.6605671805
839	0.6604324703
840	0.6604076068
841	0.6602828969
842	0.6602763905
843	0.6601880105
844	0.660078992
845	0.6599680632
846	0.6598905372
847	0.6598055036
848	0.6597414369
849	0.6596553907
850	0.6596050521
851	0.6594270019
852	0.6593615814
853	0.6592838978
854	0.6592478075
855	0.6591733244
856	0.6590866654
857	0.6590239129
858	0.6589503313
859	0.6589228049
860	0.658834948
861	0.6588285972
