iter	Passed	Remaining
0	135	135156
1	236	118236
2	329	109465
3	440	109660
4	545	108559
5	641	106197
6	738	104821
7	846	104974
8	997	109870
9	1158	114707
10	1274	114622
11	1383	113893
12	1495	113520
13	1621	114201
14	1763	115815
15	1888	116163
16	2019	116787
17	2139	116707
18	2262	116827
19	2398	117507
20	2539	118379
21	2678	119086
22	2808	119299
23	2896	117780
24	3008	117347
25	3132	117333
26	3230	116431
27	3385	117525
28	3518	117811
29	3618	117001
30	3719	116263
31	3823	115646
32	3931	115212
33	4052	115132
34	4162	114768
35	4265	114223
36	4383	114089
37	4513	114264
38	4598	113323
39	4704	112910
40	4824	112840
41	4947	112850
42	5040	112187
43	5157	112056
44	5276	111977
45	5410	112200
46	5525	112035
47	5636	111790
48	5760	111793
49	5888	111880
50	5994	111538
51	6097	111155
52	6212	111001
53	6322	110755
54	6436	110593
55	6546	110361
56	6670	110363
57	6792	110321
58	6915	110295
59	7009	109810
60	7112	109487
61	7221	109250
62	7327	108979
63	7414	108434
64	7518	108148
65	7603	107596
66	7732	107683
67	7860	107734
68	7983	107713
69	8084	107402
70	8201	107318
71	8333	107404
72	8459	107418
73	8572	107276
74	8696	107254
75	8824	107286
76	8930	107051
77	9044	106914
78	9162	106814
79	9266	106564
80	9404	106702
81	9497	106320
82	9596	106020
83	9711	105902
84	9810	105609
85	9912	105346
86	10020	105162
87	10144	105128
88	10262	105042
89	10391	105066
90	10488	104767
91	10614	104758
92	10722	104571
93	10807	104170
94	10915	103981
95	11067	104220
96	11173	104016
97	11267	103710
98	11420	103934
99	11550	103953
100	11663	103812
101	11769	103615
102	11854	103239
103	11975	103170
104	12100	103138
105	12224	103098
106	12341	103000
107	12448	102817
108	12570	102751
109	12693	102698
110	12802	102537
111	12928	102507
112	13032	102297
113	13172	102375
114	13264	102079
115	13362	101834
116	13463	101607
117	13570	101432
118	13697	101408
119	13794	101158
120	13881	100843
121	14000	100758
122	14134	100778
123	14233	100553
124	14324	100274
125	14436	100142
126	14561	100098
127	14653	99826
128	14796	99902
129	14921	99858
130	15032	99717
131	15183	99845
132	15276	99584
133	15373	99351
134	15502	99331
135	15610	99172
136	15706	98940
137	15784	98594
138	15872	98316
139	15986	98202
140	16106	98125
141	16215	97975
142	16304	97710
143	16411	97556
144	16501	97302
145	16589	97035
146	16684	96815
147	16806	96749
148	16886	96443
149	17017	96432
150	17124	96285
151	17218	96058
152	17329	95933
153	17467	95955
154	17553	95695
155	17675	95630
